Postal Code,Place Name,Taluka/Tehsil,District,State,Taluka Code,District Code,State Code,Country Code,Latitude,Longitude,Accuracy
587114,Belur (Bagalkot),Badami,Bagalkot,Karnataka,,556,19,IN,15.848,75.7527,4
587114,Guddadmallapur,Badami,Bagalkot,Karnataka,,556,19,IN,15.8562,75.7708,3
587114,Hirenabasi,Badami,Bagalkot,Karnataka,,556,19,IN,15.8562,75.7708,3
587114,Dhanakshirur,Badami,Bagalkot,Karnataka,,556,19,IN,15.8562,75.7708,3
587114,Jalihal,Badami,Bagalkot,Karnataka,,556,19,IN,15.8425,75.7593,4
587114,Hosur,Badami,Bagalkot,Karnataka,,556,19,IN,15.8782,75.8004,4
587122,Kadarkoppa,Badami,Bagalkot,Karnataka,,556,19,IN,16.117,75.6718,3
587155,Mamatgeri,Badami,Bagalkot,Karnataka,,556,19,IN,15.9436,75.52,4
587155,Sulla,Badami,Bagalkot,Karnataka,,556,19,IN,15.8426,75.5739,4
587155,Kakanur,Badami,Bagalkot,Karnataka,,556,19,IN,15.9376,75.4316,4
587155,Kittali,Badami,Bagalkot,Karnataka,,556,19,IN,16.2205,75.6254,3
587155,Kulgeri Cross,Badami,Bagalkot,Karnataka,,556,19,IN,16.2205,75.6254,3
587155,Narasapur,Badami,Bagalkot,Karnataka,,556,19,IN,16.2205,75.6254,4
587155,Alur S.K.,Badami,Bagalkot,Karnataka,,556,19,IN,16.2205,75.6254,3
587155,Govankoppa,Badami,Bagalkot,Karnataka,,556,19,IN,16.2205,75.6254,3
587155,Belavalakoppa,Badami,Bagalkot,Karnataka,,556,19,IN,16.2205,75.6254,3
587201,Shivayogmandir,Badami,Bagalkot,Karnataka,,556,19,IN,15.9159,75.7551,4
587201,Nandikeshwar,Badami,Bagalkot,Karnataka,,556,19,IN,15.9446,75.7598,4
587201,Halkurki,Badami,Bagalkot,Karnataka,,556,19,IN,15.9888,75.6337,4
587201,Hebballi,Badami,Bagalkot,Karnataka,,556,19,IN,15.8383,75.6117,4
587201,Katarki,Badami,Bagalkot,Karnataka,,556,19,IN,15.8365,75.6835,4
587201,Muttalgeri,Badami,Bagalkot,Karnataka,,556,19,IN,15.8948,75.6159,4
587201,Khyad,Badami,Bagalkot,Karnataka,,556,19,IN,15.8509,75.7014,4
587201,Hullikeri,Badami,Bagalkot,Karnataka,,556,19,IN,15.9952,75.6033,4
587201,Yankanchi,Badami,Bagalkot,Karnataka,,556,19,IN,16.2205,75.6254,4
587201,Shirbadagi,Badami,Bagalkot,Karnataka,,556,19,IN,15.9421,75.7127,3
587201,Bachingudd,Badami,Bagalkot,Karnataka,,556,19,IN,15.9421,75.7127,3
587201,Badami Extension,Badami,Bagalkot,Karnataka,,556,19,IN,15.9421,75.7127,3
