Postal Code,Place Name,Taluka/Tehsil,District,State,Taluka Code,District Code,State Code,Country Code,Latitude,Longitude,Accuracy
414005,Sarola Kasar,Ahmedangar,Ahmed Nagar,Maharashtra,,522,16,IN,19.2306,74.6025,3
414001,Anandibazar,Ahmednagar,Ahmed Nagar,Maharashtra,,522,16,IN,19.0512,75.1407,1
414001,Sarjepura,Ahmednagar,Ahmed Nagar,Maharashtra,,522,16,IN,19.0512,75.1407,1
414001,M.G.Udyan,Ahmednagar,Ahmed Nagar,Maharashtra,,522,16,IN,19.0512,75.1407,1
414001,Ahmednagar City,Ahmednagar,Ahmed Nagar,Maharashtra,,522,16,IN,19.0512,75.1407,1
414001,Ahmednagar H.O,Ahmednagar,Ahmed Nagar,Maharashtra,,522,16,IN,19.0512,75.1407,1
414002,Bhingar Wes,Ahmednagar,Ahmed Nagar,Maharashtra,,522,16,IN,19.2042,74.6779,3
414002,Agadgaon,Ahmednagar,Ahmed Nagar,Maharashtra,,522,16,IN,19.2042,74.6779,3
414002,Burhan Nagar,Ahmednagar,Ahmed Nagar,Maharashtra,,522,16,IN,19.2042,74.6779,3
414002,Darewadi,Ahmednagar,Ahmed Nagar,Maharashtra,,522,16,IN,19.2042,74.6779,4
414002,Bhingar,Ahmednagar,Ahmed Nagar,Maharashtra,,522,16,IN,19.2042,74.6779,3
414002,Ahmednagar Camp,Ahmednagar,Ahmed Nagar,Maharashtra,,522,16,IN,19.2042,74.6779,3
414003,Savedi Road,Ahmednagar,Ahmed Nagar,Maharashtra,,522,16,IN,19.0512,75.1407,1
414005,Nimgaon Wagha,Ahmednagar,Ahmed Nagar,Maharashtra,,522,16,IN,19.2306,74.6025,3
414005,Ahmednagar R.S.,Ahmednagar,Ahmed Nagar,Maharashtra,,522,16,IN,19.2306,74.6025,3
414005,Akolner,Ahmednagar,Ahmed Nagar,Maharashtra,,522,16,IN,18.9859,74.6554,4
414005,Chas,Ahmednagar,Ahmed Nagar,Maharashtra,,522,16,IN,19.0346,74.6496,4
414005,Bhorwadi,Ahmednagar,Ahmed Nagar,Maharashtra,,522,16,IN,19.2306,74.6025,3
414005,Astagaon,Ahmednagar,Ahmed Nagar,Maharashtra,,522,16,IN,19.6713,74.5026,4
414005,Bhoyare Pathar,Ahmednagar,Ahmed Nagar,Maharashtra,,522,16,IN,19.2306,74.6025,3
414005,Nepti,Ahmednagar,Ahmed Nagar,Maharashtra,,522,16,IN,19.2306,74.6025,3
414005,Ghospuri,Ahmednagar,Ahmed Nagar,Maharashtra,,522,16,IN,19.2306,74.6025,3
414005,Pimpalgaon Kauda,Ahmednagar,Ahmed Nagar,Maharashtra,,522,16,IN,19.2306,74.6025,3
414005,Kamargaon,Ahmednagar,Ahmed Nagar,Maharashtra,,522,16,IN,19.2042,74.6779,3
414006,Khandala,Ahmednagar,Ahmed Nagar,Maharashtra,,522,16,IN,19.2042,74.6779,4
414006,Walki,Ahmednagar,Ahmed Nagar,Maharashtra,,522,16,IN,18.9628,74.7538,4
414006,Vadgaon Tandali,Ahmednagar,Ahmed Nagar,Maharashtra,,522,16,IN,19.4913,74.7761,3
414006,Meherabad,Ahmednagar,Ahmed Nagar,Maharashtra,,522,16,IN,19.4913,74.7761,3
