Postal Code,Place Name,Taluka/Tehsil,District,State,Taluka Code,District Code,State Code,Country Code,Latitude,Longitude,Accuracy
504001,Station Road (Adilabad),Adilabad,Adilabad,Telangana,,532,40,IN,19.539,78.527,1
504001,Bhagyanagar (Adilabad),Adilabad,Adilabad,Telangana,,532,40,IN,19.539,78.527,1
504001,Bhuktapur,Adilabad,Adilabad,Telangana,,532,40,IN,19.539,78.527,1
504001,Adilabad Collectorate,Adilabad,Adilabad,Telangana,,532,40,IN,19.539,78.527,1
504001,Gandhi Chowk (Adilabad),Adilabad,Adilabad,Telangana,,532,40,IN,19.539,78.527,1
504001,Adilabad H.O,Adilabad,Adilabad,Telangana,,532,40,IN,19.539,78.527,1
504002,Yapalguda,Adilabad,Adilabad,Telangana,,532,40,IN,19.2596,78.4142,4
504002,Pippaldhari,Adilabad,Adilabad,Telangana,,532,40,IN,19.3281,78.2996,4
504002,Pochera,Adilabad,Adilabad,Telangana,,532,40,IN,19.3375,78.3637,4
504002,Saidpur,Adilabad,Adilabad,Telangana,,532,40,IN,19.6228,78.736,4
504002,Ramai,Adilabad,Adilabad,Telangana,,532,40,IN,19.6627,78.642,4
504002,Ponnari,Adilabad,Adilabad,Telangana,,532,40,IN,19.6786,78.4827,4
504002,Tantoli,Adilabad,Adilabad,Telangana,,532,40,IN,19.6254,78.5605,4
504002,Ankoli,Adilabad,Adilabad,Telangana,,532,40,IN,19.6051,78.572,4
504002,Dasnapur Colony,Adilabad,Adilabad,Telangana,,532,40,IN,19.539,78.527,3
504002,Bheemsari,Adilabad,Adilabad,Telangana,,532,40,IN,19.539,78.527,3
504002,Mavala,Adilabad,Adilabad,Telangana,,532,40,IN,19.6355,78.5097,4
504002,Chinchughat,Adilabad,Adilabad,Telangana,,532,40,IN,19.539,78.527,3
504002,Cotton Market,Adilabad,Adilabad,Telangana,,532,40,IN,19.539,78.527,3
504002,Chanda (T),Adilabad,Adilabad,Telangana,,532,40,IN,19.539,78.527,3
504002,Kampamediguda,Adilabad,Adilabad,Telangana,,532,40,IN,19.539,78.527,3
504002,Khodad,Adilabad,Adilabad,Telangana,,532,40,IN,19.539,78.527,3
504308,Sitagondi,Adilabad,Adilabad,Telangana,,532,40,IN,19.5158,78.574,3
504308,Palli (B),Adilabad,Adilabad,Telangana,,532,40,IN,19.5158,78.574,3
504308,Devapur,Adilabad,Adilabad,Telangana,,532,40,IN,19.6121,78.4598,4
504308,Bharampur,Adilabad,Adilabad,Telangana,,532,40,IN,19.5973,78.412,4
504308,Waghapur,Adilabad,Adilabad,Telangana,,532,40,IN,19.5158,78.574,3
504309,Sawapur,Adilabad,Adilabad,Telangana,,532,40,IN,19.7629,78.5844,4
504309,Guda,Adilabad,Adilabad,Telangana,,532,40,IN,19.5158,78.574,4
504309,Deepaiguda,Adilabad,Adilabad,Telangana,,532,40,IN,19.6355,78.7946,3
504309,Pendalwada,Adilabad,Adilabad,Telangana,,532,40,IN,19.6355,78.7946,3
504309,Jainad,Adilabad,Adilabad,Telangana,,532,40,IN,19.6355,78.7946,3
504309,Chaprala,Adilabad,Adilabad,Telangana,,532,40,IN,19.6355,78.7946,3
504309,Gumma (Adilabad),Adilabad,Adilabad,Telangana,,532,40,IN,19.6355,78.7946,3
504309,Koora,Adilabad,Adilabad,Telangana,,532,40,IN,19.6355,78.7946,3
504309,Khogdur,Adilabad,Adilabad,Telangana,,532,40,IN,19.6355,78.7946,3
504309,Ghotkuri,Adilabad,Adilabad,Telangana,,532,40,IN,19.6355,78.7946,3
504309,Nirala,Adilabad,Adilabad,Telangana,,532,40,IN,19.6355,78.7946,3
504309,Sirsanna,Adilabad,Adilabad,Telangana,,532,40,IN,19.6355,78.7946,3
504309,Bela,Adilabad,Adilabad,Telangana,,532,40,IN,19.7198,78.7715,4
504309,Akoli,Adilabad,Adilabad,Telangana,,532,40,IN,19.7621,78.6027,4
504309,Sangvi,Adilabad,Adilabad,Telangana,,532,40,IN,19.5158,78.574,4
504312,Arli (T),Adilabad,Adilabad,Telangana,,532,40,IN,19.7206,78.3782,3
504312,Tamsi,Adilabad,Adilabad,Telangana,,532,40,IN,19.6874,78.4238,4
504312,Jhary,Adilabad,Adilabad,Telangana,,532,40,IN,19.7206,78.3782,3
504312,Kapparla,Adilabad,Adilabad,Telangana,,532,40,IN,19.7206,78.3782,3
504312,Karanji,Adilabad,Adilabad,Telangana,,532,40,IN,19.8565,78.3132,4
504312,Talamadugu,Adilabad,Adilabad,Telangana,,532,40,IN,19.6431,78.3943,4
504312,Lingi,Adilabad,Adilabad,Telangana,,532,40,IN,19.6954,78.3814,4
504312,Ruyyadi,Adilabad,Adilabad,Telangana,,532,40,IN,19.7206,78.3782,3
504312,Pippalkoti,Adilabad,Adilabad,Telangana,,532,40,IN,19.7206,78.3782,3
504312,Kuchlapur,Adilabad,Adilabad,Telangana,,532,40,IN,19.7206,78.3782,3
504312,Sunkidi,Adilabad,Adilabad,Telangana,,532,40,IN,19.7206,78.3782,3
504312,Kosai R.S.,Adilabad,Adilabad,Telangana,,532,40,IN,19.7206,78.3782,3
504272,Chakepalli,Asifabad,Adilabad,Telangana,,532,40,IN,19.5158,78.574,4
504272,Boyapalli,Asifabad,Adilabad,Telangana,,532,40,IN,19.5158,78.574,4
504272,Repallewada,Asifabad,Adilabad,Telangana,,532,40,IN,19.5158,78.574,3
504272,Dwarakapur,Asifabad,Adilabad,Telangana,,532,40,IN,19.5158,78.574,3
504273,Bhimini,Asifabad,Adilabad,Telangana,,532,40,IN,19.5158,78.574,3
504273,Kothmeer,Asifabad,Adilabad,Telangana,,532,40,IN,19.5158,78.574,3
